Image_id,Image_name,Level1,Level2,label,text
0,000.jpg,Troll/Oppose,Troll/Oppose Against Person,1,இனிகுலைக்காது இனி மதுக்கடை ஸ்டெர்லைட் இலங்கை தமிழர் பிரச்சினை இனி இல்லை பனுவல் ல அமைய ர ட் ணன் ் ன 1332 வட னு J at 4 ட் ஜ் ர் மது ் ய nt 9 BS Pi aah த a ப கை aA 7 ௫ தத்த he ா ரி க 4 ் a ழு ல் 1 த aN ணத Sa ட் தி
2,002.jpg,Troll/Oppose,Troll/Oppose Against Person,1,தமிழில் எழுதி ஆங்கிலத்தில் ஆங்கிலத்தில் எழுதி தமிழில் ஹிந்தியில் எழுதி ஹிந்தியிலேயே
3,003.jpg,Troll/Oppose,Troll/Oppose Against Person,1,t J உ மகாராஷ்டிராவில் கோவில்களை a aah உடனடியாக திறக்கவில்லை எனில் தந்ம் ப ப ig Ce நடத்துவேண் அண்ணா ஹசாரே ர வ் ் ன் 6 if ta en co ட்டது பஹ அ பு 1 அ hp கஸ் 860௫ ௮ உயர்த்த் Oe nem ப்பி எதுக்காக மோாராட போறன்னு சொல்வது பாரு
4,004.jpg,Troll/Oppose,Troll/Oppose Against Party,1,BREAKING NEWS சிறப்பு அந்தஸ்து ரத்து என்பது ஜனநாயகப் படுகொலை ் ஜம்மு காஷ்மீர் மக்களின் கை தீ ஒப்புதலை பெறாமல் ey சத்வ சட்டப்பிரிவு 570 ரத்து செய்து ஜனநாயகப் படுகொலை வட அரங்கேற்றி விட்டனர் நதித் 7 திமுக தலைவர் மு க ஸ்டாலின் AD gS OD ட ன் னா bad oe i ஸ்டாலின் ai அ சீ கட்ச தீவு மீத்தேன் கையெழுத்து மது ஆலைகள் திறப்பு இதெல்லாம் மக்களை கேட்டா நீங்க செஞ்சீங்க
5,005.jpg,Troll/Oppose,Troll/Oppose Against Person,1,தனியார்துறையிலும் இடஒதுக்கீட்டுக்கு சட்டம் இயற்ற வேண்டும் திருமாவளவன் ஏன் ஒலிம்பிக்கில் கூட இட ஒதுக்கீடு கேளு 100 ஈல் ல் வெறும் 50 மீட்டர் ஓடினால் தங்கம் கொடுக்கணும்னு ர து ற ட ச ட q ர
7,007.jpg,Troll/Oppose,Troll/Oppose Against Person,1,ட சர்வதேச பொருளாதாரம் ன் நம்தம் ட இந்தியா வேகமாக ளு STOUT oe i oe ளை ் ் க ௫ ars டத மி a அதி ததி ஆ ST rs ப பொருளாதாரம் பொருளாதாரம்
8,008.jpg,Troll/Oppose,Troll/Oppose Against Party,1,இலங்கை தமிழர்கள் அநாதைகள் அல்ல அவர்களுக்கு நாம் இருக்கிறோம் முதல்வர் ஸ்டாலின் ட சதை அ ப ட னத டது 5 Nie ல் ர பண்ணப் ் ர அனு 8 ந ட்டது பத் mL ey அவங்க அனாதை Pr காரணமே காங்கிரஸ் கட்சியும் நீங்களும் தானே அப்பறம் எதுக்கு இந்த நாடகம்
9,009.jpg,Troll/Oppose,Troll/Oppose Against Person,1,நயன்தாரா ஹன்சிகா தம்மன்னா கூட நடிக்க கோடி கணக்குல் செலவு பண்ற 1 ௫ சி தத்து as an ட ow அதத oO Rs eRe i an on உட் ain ப இ ப வைகும் த ட னி ஆனா உன் தாத்தா சமாதிக்கு மட்டும் ஏன்டா எங்க பணத்தை சுருட்டுறீங்க
10,010.jpg,Troll/Oppose,Troll/Oppose Against Person,1,i Bok eect heal எழியின்றி தவிக்கும் பாறு பிரதமர் oom பச்ச on ae Seng See ணங்க கரட் பூமாடி புதிதாக பார்லிமண்ட் நட்டிகிறார் படி பிப படிப் பலவந்த ப ந் i ம் டக் CS ie ae ie A ் பட்டய a வ ப தட பப்பி Teeter eta அத்கா இப்போது கொஞ்சம் மாய் eT adh Pate UC eo ae ஜி ait Spectre ட்ட 2 no tae
11,011.jpg,Troll/Oppose,Troll/Oppose Against Person,1,உங்கிட்ட இல்லாத பணமா அப்புறம் எதுக்கு கவர்மென்ட் காசுல ஒங்கொப்பனுக்கு சமாதி கட்டுற வெக்கமா இல்லையா தல பக அ 7 7 cs இன்ன த் he டது _ ஸ் ஜ் ட்ப ப ப்பத் டவ் எங்கிட்ட எவ்வளவு இருந்தாலும் ஊர் காச ஆட்டைய போட்டு கட்டுனாதான் எங்கப்பன் ஆத்மா சாந்தியடையும்
